question,document,score,reasoning
Is it too late to enroll in the course if I just found out about it?,74eb249bbf,good,"The AI answer conveys the same key information: it confirms that enrollment is still possible and notes that to obtain a certificate, the project must be submitted while the submission period is still open. The additional phrasing ""you can still join the course"" is consistent with the original answer and does not change the meaning. Therefore, the AI answer is semantically equivalent to the ground truth."
Can I still get a certificate if I join the course now?,74eb249bbf,good,"Both answers convey the same core meaning: you can still join the course and earn a certificate, provided you submit your project while submissions are still open. The AI answer is a faithful paraphrase."
What do I need to do to receive a certificate for this course?,74eb249bbf,bad,"The AI answer adds additional requirements (live cohort, self‑paced mode restriction, passing the Capstone, peer‑reviewing projects) that are not present in the original answer. The original answer only states that you must submit your project while submissions are still accepted to receive a certificate. By introducing new conditions that are not mentioned or implied by the original, the AI answer diverges from the correct information. Therefore, it is not semantically equivalent."
Are there any deadlines I should be aware of for project submissions?,74eb249bbf,bad,"The AI answer does not provide any information about deadlines, whereas the ground truth states that there is a deadline tied to the period the site is still accepting submissions. The AI answer is incomplete and incorrect regarding the key point."
How does the project submission affect my ability to get certified after joining?,74eb249bbf,bad,"The original answer states only that submitting the project while submissions are still open is required for certification. The AI answer adds an additional condition—participating in peer reviews of three cohort members—which is not mentioned in the original. Because this introduces new, incorrect requirements, the answers are not semantically equivalent."
"I signed up for the LLM Zoomcamp, but when will I get my confirmation email?",977bf7786c,good,"The AI answer captures the essential information: no confirmation email is required, the student is already accepted, and they may start learning and submitting homework immediately, without needing registration. The omission of the detail about the form remaining open does not change the core meaning. Therefore, the AI answer is semantically equivalent to the original answer."
Do I need a confirmation email to start the LLM Zoomcamp?,977bf7786c,good,"The AI answer correctly states that a confirmation email is not required and that you can start learning and submitting homework, mirroring the core information in the original answer. The omission of details about registration being a gauge of interest does not affect the truthfulness of the answer to the student's question. Therefore, the AI answer is semantically equivalent to the original."
Is the registration for the LLM Zoomcamp necessary to begin learning?,977bf7786c,good,"The AI answer correctly states that registration is not required to start learning and to submit homework, and it mentions that registration is only used to gauge interest before the start date. It omits the phrase that the registration is not checked against any list and the note that the student is already accepted, but these omissions do not change the core meaning. Therefore the AI answer is semantically equivalent to the original answer. "
Can I start submitting homework for the LLM Zoomcamp without waiting for a confirmation?,977bf7786c,good,"The AI answer correctly conveys the essential information that a student may start submitting homework for the LLM Zoomcamp without needing a confirmation or registration. It mentions that the student is accepted and can proceed while the form is open, which matches the key points of the original answer. Although the AI doesn’t explicitly state that registration is not checked against a list or that it's only for gauging interest, these details are ancillary; the core answer is accurate. Therefore, the answer is semantically equivalent to the original."
Why do we even register for the LLM Zoomcamp if it doesn't check against a registered list?,977bf7786c,good,"The AI answer conveys the same core points: registration is only to gauge interest, the course does not check the registration list, and you can start learning and submit homework without registering. No key information is omitted or incorrect. Therefore, the AI answer is semantically equivalent to the original."
How can I find the Zoom link for the office hours or live sessions in the LLM Zoomcamp course?,489dd1c9d9,good,"The AI answer correctly includes all the essential information from the original: the Zoom link is only shared with instructors, presenters, and TAs; students join via YouTube Live; the live video URL is posted in the Telegram/Slack announcements before the session starts; and questions are submitted through Slido (link pinned in chat). While it omits the minor note about not posting questions in chat because they may be missed, this detail is not a core part of the answer. Thus the AI answer is semantically equivalent to the original."
Is it possible for students to attend the workshop sessions directly through Zoom?,489dd1c9d9,good,"The AI answer correctly states that students cannot attend the sessions directly through Zoom and that they participate via YouTube Live, submitting questions via Slido. This fully captures the key information from the ground truth. It may omit some additional details (e.g., announcements channel, DataTalksClub link) but those are not essential to answering the question."
Where can I watch the live office hours or workshops for the course?,489dd1c9d9,good,"The AI answer accurately conveys the key information from the original: live sessions are streamed on the DataTalksClub YouTube Channel, the video URL is posted beforehand in the Telegram/Slack announcements channel, students watch via YouTube Live, and questions are submitted through Slido (pinned in chat). The missing reminder about not posting questions in chat is a minor detail not essential to the core answer. Therefore, the AI answer is semantically equivalent."
What should I do if I have questions during the live sessions?,489dd1c9d9,bad,"The AI answer covers the recommendation to use Slido and warns against using chat, but it omits the key details that the Zoom link is private to instructors, that students join via YouTube Live, that the live stream URL should be posted in the announcements channel on Telegram/Slack before it starts, and that the live can be watched on the DataTalksClub YouTube channel. It also incorrectly mentions asking questions in Slack, which is not part of the original guidance. Thus it fails to convey several essential points from the ground truth."
Will the video links for the streams be posted somewhere before the sessions start?,489dd1c9d9,good,"The AI answer correctly states that the video links are posted in the announcements channel on Telegram and Slack before the sessions and that live viewing is possible on the DataTalksClub YouTube Channel. These points capture the essential answer to the question. Extra details about Zoom access, Slido, or chat usage, while present in the original answer, are not mandatory to answer the specific question. Thus, the AI reply is semantically equivalent and correct."
